Time:       Temperature:       Altitude:        Pressure:
-----------------------------------------------------
2014:14:01:04:11	-112.15595	00694.78595	50:14359	
2014:14:01:04:11	-111.64801	01765.30096	50:31793	
2014:14:01:04:12	-111.13241	01990.93014	50:71190	
2014:14:01:04:12	-110.24864	03114.80180	50:82830	
2014:14:01:04:12	-109.96556	03354.20231	51:23815	
2014:14:01:04:12	-107.41778	03438.21174	51:28196	
2014:14:01:04:13	-104.75765	03984.88296	51:39750	
2014:14:01:04:13	-101.49395	04181.74341	51:56296	
2014:14:01:04:13	-101.24813	04274.15190	51:68162*
2014:14:01:04:13	-099.43021	04707.02311	51:80027	
2014:14:01:04:14	-098.25253	05060.35978	51:88341	
2014:14:01:04:14	-093.52630	05189.53683	52:14865	
2014:14:01:04:14	-093.36643	06267.08919	52:72670*
2014:14:01:04:14	-092.99585	06500.41472	53:30475	
2014:14:01:04:15	-090.32407	06628.87368	53:40430	
2014:14:01:04:15	-090.27194	06906.91550	53:59414	
2014:14:01:04:15	-089.10333	07167.38464	53:75891	
2014:14:01:04:15	-087.65629	07207.63085	54:05207	
2014:14:01:04:16	-087.51116	07387.70669	54:38494	
2014:14:01:04:16	-086.50632	07874.76238	54:47853	
2014:14:01:04:16	-086.42935	08279.34251	54:92864	
2014:14:01:04:16	-085.41023	08308.76395	54:98360	
2014:14:01:04:17	-085.17425	08995.62857	55:72283	
2014:14:01:04:17	-085.12897	09195.42179	55:95592	
2014:14:01:04:17	-084.48895	09278.88864	56:20029	
2014:14:01:04:17	-082.43373	09835.87828	56:46316	
2014:14:01:04:18	-080.27399	09996.33133	56:67214	
2014:14:01:04:18	-080.22134	10007.53013	57:17712	
2014:14:01:04:18	-078.36369	10667.75698	57:58927	
2014:14:01:04:18	-076.72916	10821.93678	57:77977	
2014:14:01:04:19	-076.36618	11301.17228	57:87549	
2014:14:01:04:19	-074.98421	11351.34833	58:67585	
2014:14:01:04:19	-073.74027	11505.71173	58:80312	
2014:14:01:04:19	-069.44933	11565.71138	58:86358*
2014:14:01:04:20	-069.34211	11856.98174	58:92404	
2014:14:01:04:20	-069.30180	12061.27236	59:18026	
2014:14:01:04:20	-068.53807	12859.90266	59:50269	
2014:14:01:04:20	-068.37802	12924.90629	59:65826*
2014:14:01:04:21	-068.29705	13552.22915	59:81382	
2014:14:01:04:21	-067.62879	13987.37002	59:88974	
2014:14:01:04:21	-064.06883	14150.41261	60:37993	
2014:14:01:04:21	-063.89394	14657.77372	60:86608*
2014:14:01:04:22	-063.73206	14819.43903	61:35223	
2014:14:01:04:22	-060.44342	15252.15967	61:37472	
2014:14:01:04:22	-060.02930	15634.07867	61:65362	
2014:14:01:04:22	-053.46817	15658.66351	62:20168	
2014:14:01:04:23	-053.30668	16018.23727	62:28256	
2014:14:01:04:23	-052.67792	16409.19184	62:95372*
2014:14:01:04:23	-051.87022	16660.87038	63:28930*
2014:14:01:04:23	-051.47451	16747.71149	63:62487	
2014:14:01:04:24	-050.32768	16924.96462	64:36525	
2014:14:01:04:24	-048.54621	17062.95115	64:40056	
2014:14:01:04:24	-046.90773	17098.39140	64:40401	
2014:14:01:04:24	-046.79571	18538.27107	64:60122	
2014:14:01:04:25	-045.05541	18629.15180	65:36849*
2014:14:01:04:25	-043.08362	19350.86386	66:13575	
2014:14:01:04:25	-042.34696	19386.38931	66:69061	
2014:14:01:04:25	-040.03505	19424.76825	66:86700	
2014:14:01:04:26	-039.29211	20206.02294	67:87370	
2014:14:01:04:26	-037.30930	20352.67769	68:33342	
2014:14:01:04:26	-034.45076	20370.44680	68:74116	
2014:14:01:04:26	-034.15456	20405.57031	69:48882	
2014:14:01:04:27	-030.51542	20573.17673	69:66595	
2014:14:01:04:27	-029.58453	20582.02301	69:73458	
2014:14:01:04:27	-028.25729	20605.55207	70:35280	
2014:14:01:04:27	-027.98389	21547.22450	70:88406	
2014:14:01:04:28	-027.28050	21820.21543	71:13435	
2014:14:01:04:28	-027.05186	22123.49580	71:23556	
2014:14:01:04:28	-024.86811	22203.15524	71:75847*
