Time:       Temperature:       Altitude:        Pressure:
-----------------------------------------------------
2014:14:11:47:50	-124.30222	10470.19521	53:99129	
2014:14:11:47:50	-141.16070	13188.26473	55:51911	
2014:14:11:47:51	-119.91460	10586.50266	54:03620	
2014:14:11:47:51	-129.62265	13266.37564	55:65648	
2014:14:11:47:51	-119.21369	11545.06578	54:27895	
2014:14:11:47:51	-129.04808	13866.60939	55:71641	
2014:14:11:47:52	-113.75416	11673.34130	54:46484	
2014:14:11:47:52	-128.86012	13888.62388	56:35755	
2014:14:11:47:52	-109.41924	12813.53152	54:89897	
2014:14:11:47:52	-124.49168	14448.25173	54:96579*
2014:14:11:47:53	-107.61130	14037.82453	55:03260	
2014:14:11:47:53	-123.51992	15797.55621	56:49298	
2014:14:11:47:53	-101.06557	19963.73631	55:22473	
2014:14:11:47:53	-123.06326	19781.80390	57:16390	
2014:14:11:47:54	-099.74102	20096.22778	55:30809	
2014:14:11:47:54	-115.32577	25607.58483	57:36652	
2014:14:11:47:54	-098.20997	24779.16646	55:52907	
2014:14:11:47:54	-112.91851	28377.70656	57:84792	
2014:14:11:47:55	-093.42999	25518.36695	55:57278	
2014:14:11:47:55	-099.76686	29048.04923	58:03679	
2014:14:11:47:55	-092.12190	28521.57362	55:93828	
2014:14:11:47:55	-097.85230	31488.53569	58:63222	
2014:14:11:47:56	-082.68085	31718.31706	56:04719	
2014:14:11:47:56	-097.67624	35064.36835	58:83584	
2014:14:11:47:56	-081.70416	32811.96006	56:04784	
2014:14:11:47:56	-096.25128	35717.15372	59:67941	
2014:14:11:47:57	-073.56947	33085.16371	56:88548	
2014:14:11:47:57	-095.23479	36406.25570	60:73620	
2014:14:11:47:57	-071.81052	35118.24079	60:78121*
2014:14:11:47:57	-087.99980	38816.80987	60:82621	
2014:14:11:47:58	-062.33877	37083.05045	57:28465	
2014:14:11:47:58	-086.84597	42067.89903	61:26840	
2014:14:11:47:58	-060.56954	39050.15463	61:38745*
2014:14:11:47:58	-081.00565	43391.38496	61:50650	
2014:14:11:47:59	-058.30104	43239.38232	58:10213	
2014:14:11:47:59	-080.77924	45125.35440	62:25209	
2014:14:11:47:59	-057.23475	44228.37024	58:19242	
2014:14:11:47:59	-076.89343	48356.88026	63:13627	
2014:14:11:48:00	-040.32584	44660.45152	63:27930*
2014:14:11:48:00	-073.97460	48527.28300	63:42232	
2014:14:11:48:00	-039.14845	45007.41341	58:35424	
2014:14:11:48:00	-067.37720	49201.91998	63:72457	
2014:14:11:48:01	-038.24140	45526.10497	59:09698	
2014:14:11:48:01	-053.04000	51386.03827	63:79526	
2014:14:11:48:01	-037.81526	45696.56079	59:64588	
2014:14:11:48:01	-052.46510	51615.99943	63:84319	
2014:14:11:48:02	-036.51853	46059.37875	61:55562	
2014:14:11:48:02	-047.00480	57350.87842	64:03250	
2014:14:11:48:02	-035.65113	46530.33479	62:08392	
2014:14:11:48:02	-045.31821	59989.83987	64:10793	
2014:14:11:48:03	-034.57093	53293.89974	63:62519	
2014:14:11:48:03	-044.89220	61157.37155	64:92936	
2014:14:11:48:03	-032.09846	53720.41766	63:66177	
2014:14:11:48:03	-036.81339	62711.69575	65:27451	
2014:14:11:48:04	-021.62539	54627.81534	64:44111	
2014:14:11:48:04	-032.47846	62802.25888	65:47198	
2014:14:11:48:04	-016.70763	55335.50773	66:02047	
2014:14:11:48:04	-029.16975	65138.38666	65:51506	
2014:14:11:48:05	-011.79560	59124.20897	66:79117*
2014:14:11:48:05	-021.04202	65599.92018	67:42923*
2014:14:11:48:05	-006.71291	59827.78789	68:06728	
2014:14:11:48:05	-015.01564	68493.91569	67:26766	
2014:14:11:48:06	-006.02990	63081.66599	68:96452	
2014:14:11:48:06	-013.29288	68900.51177	67:61460	
2014:14:11:48:06	-003.29579	63472.34130	69:10489	
2014:14:11:48:06	-011.66092	69470.49727	69:28529*
2014:14:11:48:07	004.69607	67248.75941	69:46569	
2014:14:11:48:07	-002.72134	69540.91876	68:72697	
2014:14:11:48:07	012.20408	67771.99580	69:77015	
2014:14:11:48:07	003.37988	70306.74479	70:86708	
2014:14:11:48:08	014.05208	69683.98998	71:04163	
2014:14:11:48:08	005.05573	75567.40407	71:90687	
2014:14:11:48:08	025.75943	70296.40909	72:05399	
2014:14:11:48:08	011.98104	76530.30961	72:37195	
2014:14:11:48:09	026.09066	70826.22830	72:21483	
2014:14:11:48:09	026.54549	79625.30391	72:55937	
2014:14:11:48:09	040.90544	73444.51998	72:38745	
2014:14:11:48:09	036.50611	79807.96781	73:65082	
2014:14:11:48:10	043.96617	74167.69565	72:74860	
2014:14:11:48:10	039.87937	80196.67243	73:65908	
2014:14:11:48:10	046.81665	75901.66534	73:37138	
2014:14:11:48:10	041.27844	81944.04883	73:89030	
2014:14:11:48:11	047.13734	78085.47707	76:16577	
2014:14:11:48:11	041.33348	82019.23364	74:43351	
2014:14:11:48:11	049.53374	78365.84186	74:73185*
2014:14:11:48:11	042.83406	82249.05882	75:03019	
2014:14:11:48:12	049.82451	80120.88857	77:35052	
2014:14:11:48:12	043.02934	86864.27952	75:94080	
2014:14:11:48:12	051.22852	80632.42817	77:42610	
2014:14:11:48:12	048.52246	90564.50461	76:16852	
2014:14:11:48:13	053.19261	81933.42815	79:02575	
2014:14:11:48:13	053.63516	91018.17805	76:27690	
2014:14:11:48:13	055.24215	84634.59532	79:04863	
2014:14:11:48:13	054.10264	92100.21124	76:43638	
2014:14:11:48:14	058.93825	97533.16443	79:29189	
2014:14:11:48:14	064.37470	92263.94477	76:53446	
2014:14:11:48:14	062.72563	97555.86683	79:43621	
2014:14:11:48:14	065.42921	93041.00387	79:49648*
2014:14:11:48:15	068.55037	98366.77907	79:55675	
2014:14:11:48:15	065.46582	96407.05584	79:02732	
2014:14:11:48:15	070.39985	99865.12652	79:62070	
2014:14:11:48:15	066.46574	96883.37306	79:19870	
